Char,Frequency
年,210784
日,117508
大,103892
国,99011
本,91541
行,89603
用,86311
人,86145
一,84618
的,78261
中,75561
時,71107
月,70123
合,68128
線,65735
発,65714
上,64955
地,64424
間,63734
後,61061
学,60726
車,59028
定,58864
作,58687
分,57485
場,56063
代,55211
駅,54551
成,53302
部,52295
出,52159
方,51194
数,50555
同,49728
生,49072
化,48616
者,47422
会,46605
通,45638
多,45286
以,45272
対,44733
戦,44385
事,44192
体,43886
動,43699
現,43229
自,42446
東,42382
名,42145
子,41786
開,41655
高,41616
内,41610
語,41575
道,41040
法,40723
在,40303
機,40082
性,39857
入,39697
下,39109
前,39008
主,38329
表,37804
物,37776
業,37085
関,37015
度,36285
電,36015
市,35630
新,35173
当,35166
理,35024
世,34951
力,34845
設,34652
立,34652
使,33829
長,33517
最,33234
実,33072
文,32848
全,32740
記,32014
家,31418
運,30104
社,29973
特,29811
見,29727
手,29615
期,29233
第,29060
言,28912
式,28826
山,28619
画,28548
連,28473
要,28336
政,28011
初,27633
制,26984
形,26870
能,26796
位,26436
鉄,26376
明,26328
外,26161
目,25599
平,25464
気,25448
置,25410
民,25387
軍,25156
教,25129
田,24862
小,24843
品,24838
面,24473
原,24436
所,24321
和,24067
書,24006
呼,23977
変,23884
結,23398
北,23245
京,23228
西,22890
持,22817
意,22773
海,22686
加,22420
川,21986
公,21878
有,21844
点,21770
列,21768
利,21736
神,21676
正,21649
系,21611
区,21485
存,21397
近,21238
元,21148
回,21122
両,21117
義,21082
界,20938
次,20876
際,20870
都,20835
水,20814
経,20701
転,20685
来,20555
続,20324
音,20260
路,20215
金,20172
受,19807
取,19530
号,19510
三,19142
野,19086
空,19012
向,18963
流,18728
指,18653
基,18592
権,18569
計,18426
治,18298
相,18196
急,18154
信,18132
重,18065
島,18041
直,17822
共,17820
始,17716
解,17640
組,17529
他,17441
天,17414
不,17379
論,17359
改,17311
構,17278
産,17209
別,17207
付,17094
可,17091
南,17057
交,17049
量,17001
様,16954
進,16901
送,16835
種,16735
字,16709
約,16673
二,16514
集,16453
速,16450
造,16331
説,16326
心,16312
統,16304
例,16153
議,16130
各,16081
域,16066
称,16046
素,16028
選,15995
等,15925
県,15854
活,15805
保,15801
売,15721
員,15605
王,15520
番,15343
知,15133
型,14989
状,14979
乗,14970
放,14944
示,14938
降,14915
紀,14913
少,14850
考,14837
規,14754
無,14717
古,14659
決,14606
製,14605
常,14596
強,14404
側,14327
楽,14214
得,14200
半,14100
参,14046
問,13988
類,13948
口,13927
応,13802
広,13771
移,13765
工,13697
終,13678
格,13666
単,13602
編,13555
質,13485
由,13473
題,13358
伝,13350
反,13348
身,13269
府,13205
果,13114
台,13110
朝,13075
起,13003
勝,12893
務,12802
支,12660
安,12625
含,12579
限,12569
認,12518
女,12474
術,12336
必,12323
条,12270
州,12216
止,12211
器,12158
異,12157
配,12088
般,12046
万,12015
引,12003
武,11978
団,11974
述,11906
馬,11838
領,11812
調,11754
着,11746
建,11685
演,11654
営,11654
総,11652
話,11618
接,11579
味,11518
族,11515
料,11480
再,11436
備,11426
派,11400
報,11399
技,11358
町,11343
先,11236
換,11230
争,11210
態,11201
映,11176
光,11175
任,11145
導,11126
比,11076
増,11010
過,10990
影,10893
装,10891
版,10890
命,10859
録,10792
確,10787
判,10715
準,10662
土,10660
載,10583
独,10567
登,10559
収,10514
観,10506
研,10433
太,10410
球,10399
象,10341
色,10306
競,10207
離,10149
程,10147
究,10141
切,10123
属,10122
石,9960
係,9958
皇,9947
士,9909
曲,9862
阪,9838
込,9817
賞,9811
及,9740
周,9693
施,9685
響,9679
党,9615
与,9612
陸,9511
優,9511
戸,9479
価,9452
非,9343
校,9272
撃,9270
件,9266
局,9211
死,9154
星,9118
低,9113
木,9111
昭,9047
科,9027
史,9015
管,8979
算,8936
住,8920
宮,8915
食,8855
情,8829
率,8823
提,8822
更,8820
容,8775
兵,8752
達,8737
割,8723
走,8627
想,8597
米,8572
予,8545
彼,8521
資,8480
役,8438
官,8410
円,8402
展,8388
圧,8361
帝,8357
真,8288
挙,8285
完,8243
波,8182
張,8165
採,8148
標,8058
図,7988
英,7984
院,7977
頭,7972
残,7970
複,7948
屋,7935
値,7893
試,7877
積,7833
然,7812
勢,7768
客,7745
済,7739
葉,7723
門,7671
隊,7670
念,7669
細,7665
十,7664
害,7647
照,7599
継,7585
思,7538
除,7449
普,7420
帯,7418
停,7387
白,7375
風,7363
断,7362
末,7348
良,7229
旧,7186
源,7177
酸,7125
供,7106
商,7102
極,7096
歌,7093
案,7067
視,7053
整,7053
館,7033
従,7025
退,7015
個,7001
諸,6979
復,6963
育,6946
験,6927
橋,6916
協,6914
御,6902
難,6888
温,6868
求,6832
著,6817
消,6808
模,6803
境,6785
首,6771
村,6760
頃,6749
差,6749
減,6744
打,6712
