 ,231225,
年,210784,1年生
日,117508,1年生
大,103892,1年生
国,99011,2年生
本,91541,1年生
行,89603,2年生
用,86311,2年生
人,86145,1年生
一,84618,1年生
的,78261,4年生
中,75561,1年生
時,71107,2年生
月,70123,1年生
合,68128,2年生
線,65735,2年生
発,65714,3年生
上,64955,1年生
地,64424,2年生
間,63734,2年生
後,61061,2年生
学,60726,1年生
車,59028,1年生
定,58864,3年生
作,58687,2年生
分,57485,2年生
場,56063,2年生
代,55211,3年生
駅,54551,3年生
成,53302,4年生
部,52295,3年生
出,52159,1年生
方,51194,2年生
数,50555,2年生
同,49728,2年生
生,49072,1年生
化,48616,3年生
者,47422,3年生
会,46605,2年生
通,45638,2年生
多,45286,2年生
以,45272,4年生
対,44733,3年生
戦,44385,4年生
事,44192,3年生
体,43886,2年生
動,43699,3年生
現,43229,5年生
自,42446,2年生
東,42382,2年生
名,42145,1年生
子,41786,1年生
開,41655,3年生
高,41616,2年生
内,41610,2年生
語,41575,2年生
道,41040,2年生
法,40723,4年生
在,40303,5年生
機,40082,4年生
性,39857,5年生
入,39697,1年生
下,39109,1年生
前,39008,2年生
主,38329,3年生
表,37804,3年生
物,37776,3年生
業,37085,3年生
関,37015,4年生
度,36285,3年生
電,36015,2年生
市,35630,2年生
新,35173,2年生
当,35166,2年生
理,35024,2年生
世,34951,3年生
力,34845,1年生
設,34652,5年生
立,34652,1年生
使,33829,3年生
長,33517,2年生
最,33234,4年生
実,33072,3年生
文,32848,1年生
全,32740,3年生
記,32014,2年生
家,31418,2年生
運,30104,3年生
社,29973,2年生
特,29811,4年生
見,29727,1年生
手,29615,1年生
期,29233,3年生
第,29060,3年生
言,28912,2年生
式,28826,3年生
山,28619,1年生
画,28548,2年生
連,28473,4年生
要,28336,4年生
政,28011,5年生
初,27633,4年生
制,26984,5年生
形,26870,2年生
能,26796,5年生
位,26436,4年生
鉄,26376,3年生
明,26328,2年生
外,26161,2年生
目,25599,1年生
平,25464,3年生
気,25448,1年生
置,25410,4年生
民,25387,4年生
軍,25156,4年生
教,25129,2年生
田,24862,1年生
小,24843,1年生
品,24838,3年生
面,24473,3年生
原,24436,2年生
所,24321,3年生
和,24067,3年生
書,24006,2年生
呼,23977,6年生
変,23884,4年生
結,23398,4年生
北,23245,2年生
京,23228,2年生
西,22890,2年生
持,22817,3年生
意,22773,3年生
海,22686,2年生
加,22420,4年生
川,21986,1年生
公,21878,2年生
有,21844,3年生
点,21770,2年生
列,21768,3年生
利,21736,4年生
神,21676,3年生
正,21649,1年生
系,21611,6年生
区,21485,3年生
存,21397,6年生
近,21238,2年生
元,21148,2年生
回,21122,2年生
両,21117,3年生
義,21082,5年生
界,20938,3年生
次,20876,3年生
際,20870,5年生
都,20835,3年生
水,20814,1年生
経,20701,5年生
転,20685,3年生
来,20555,2年生
続,20324,4年生
音,20260,1年生
路,20215,3年生
金,20172,1年生
受,19807,3年生
取,19530,3年生
号,19510,3年生
